#MaxRadius:0.89956	MaxHeight:200	MaxLength:100
10792
0.79079	62.454	16.153
0.65086	63.676	15.408
0.72009	65.034	15.42
0.72819	66.471	15.371
0.63193	67.814	15.416
0.63731	69.052	15.208
0.84042	70.514	15.284
0.6736	71.992	14.97
0.73258	73.341	14.58
0.81984	74.92	14.421
0.69558	76.409	14.698
0.77645	77.879	14.865
0.53665	79.135	15.239
0.61918	80.657	15.176
0.62321	81.89	15.275
0.68993	83.193	15.185
0.56254	84.517	15.085
0.73498	86.162	15.139
0.73938	87.625	15.049
0.82513	89.167	15.253
0.67588	90.571	14.762
0.68353	92.762	14.223
0.65329	94.144	14.603
0.73778	95.679	16.314
0.8178	96.8	15.251
0.76181	98.346	14.986
0.77533	99.727	15.641
0.69344	0.68559	17.466
0.80162	2.1325	16.876
0.60978	3.4953	15.912
0.72144	4.752	16.347
0.83509	6.2221	16.831
0.65248	7.4966	16.062
0.63484	8.6431	15.447
0.71112	9.9252	16.086
0.72555	11.28	16.534
0.63847	12.631	16.578
0.63613	13.895	16.737
0.81864	15.662	17.117
0.81554	17.192	16.562
0.73982	18.72	16.302
0.70107	20.113	16.655
0.75885	21.532	16.351
0.7121	22.995	16.282
0.59694	24.275	16.056
0.70593	25.553	16.217
0.77109	26.996	16.533
0.62359	28.433	16.504
0.7387	29.784	16.676
0.57271	31.115	16.795
0.6075	32.21	17.314
0.67935	33.733	17.169
0.67495	35.334	17.419
0.7281	36.461	16.608
0.64927	38.668	16.561
0.63747	39.944	16.59
0.79412	41.374	16.562
0.66116	42.309	15.456
0.67667	44.28	16.583
0.73228	45.67	16.403
0.6913	47.087	16.368
0.76534	48.497	16.029
0.72309	49.506	17.108
0.54997	50.281	16.114
0.66253	51.485	16.243
0.64538	52.771	16.462
0.76889	54.209	16.238
0.75627	55.687	16.589
0.73878	57.173	16.707
0.67271	58.533	17.073
0.80571	59.979	17.323
0.67382	61.446	17.416
0.73173	62.827	17.623
0.85331	64.186	16.809
0.7114	65.8	16.622
0.63506	67.2	16.522
0.75327	68.625	16.532
0.59726	69.971	16.61
0.76593	71.494	16.539
0.67355	72.823	16.016
0.72313	74.181	15.766
0.66551	75.559	15.756
0.73527	76.923	16.025
0.78419	78.396	16.333
0.71165	79.873	16.238
0.68486	81.25	16.408
0.69991	82.626	16.45
0.75611	84.071	16.325
0.72688	85.542	16.438
0.69509	86.954	16.316
0.59074	88.236	16.304
0.6583	90.394	16.082
0.67967	91.837	15.208
0.69435	93.171	15.534
0.60768	94.439	15.818
0.66704	96.748	17.213
0.72234	97.847	16.376
0.76317	99.155	17.064
0.61318	0.60845	18.77
0.695	2.5843	18.281
0.75651	3.6255	17.283
0.69718	5.0018	17.74
0.64132	6.6606	18.302
0.68577	7.6158	17.393
0.63773	8.7337	16.7
0.77292	10.186	17.539
0.73262	11.633	17.947
0.74286	13.101	17.862
0.6258	14.464	17.915
0.73233	15.886	18.647
0.63232	17.076	17.996
0.59008	18.202	17.523
0.79653	19.492	18.01
0.69128	20.96	17.762
0.72577	22.363	17.569
0.77719	23.991	17.39
0.7644	25.923	17.623
0.75886	27.391	18.009
0.72324	28.848	17.782
0.57591	30.308	17.874
0.69248	31.469	18.376
0.64446	33.009	18.273
0.73261	34.374	18.422
0.58948	36.489	17.925
0.67579	37.627	17.376
0.81631	38.985	17.98
0.73109	40.52	17.819
0.69783	42.237	17.771
0.58489	43.023	16.478
0.74971	43.676	17.863
0.63214	45.035	17.643
0.78251	46.442	17.688
0.83081	48.034	17.555
0.77455	49.902	18.539
0.6658	50.852	17.403
0.64057	52.142	17.582
0.78824	53.565	17.644
0.55951	54.905	17.644
0.76543	56.166	18.029
0.68618	57.611	18.06
0.67863	58.937	18.362
0.74385	60.393	18.796
0.76198	61.899	18.79
0.69071	63.269	19.272
0.59022	63.987	18.233
0.75357	65.283	17.969
0.65657	66.651	17.689
0.70702	67.992	17.845
0.70393	69.386	17.77
0.58595	70.643	17.58
0.70197	73.166	17.34
0.65733	74.497	17.103
0.7776	75.924	17.146
0.68094	77.365	17.367
0.60583	79.049	17.553
0.77905	80.426	17.611
0.68191	81.886	17.616
0.6892	83.269	17.678
0.79348	84.749	17.713
0.74037	86.282	17.699
0.66901	87.71	17.438
