#MaxRadius:0.89998	MaxHeight:89.443	MaxLength:447.21
21468
0.63221	18.882	3.3357
0.57726	20.086	3.2852
0.62115	21.214	3.6834
0.68663	22.409	3.099
0.58846	24.188	3.2592
0.7268	25.498	3.2738
0.68991	26.909	3.2448
0.7189	28.529	3.2204
0.7067	29.945	3.3094
0.70445	31.348	3.3792
0.67847	32.728	3.4449
0.64224	34.028	3.2162
0.80949	35.539	3.5742
0.7428	37.202	3.458
0.63198	38.528	3.0979
0.74821	39.906	3.1014
0.69589	41.317	3.3925
0.63724	42.63	3.1491
0.57469	43.886	3.3241
0.80007	45.498	3.2036
0.72244	47.01	3.3628
0.54214	48.222	3.708
0.70125	49.453	3.6021
0.71531	51.119	3.3901
0.65228	52.45	3.0773
0.77457	53.738	3.6865
0.71447	55.324	3.1765
0.7838	56.765	3.5578
0.60473	58.151	3.5426
0.66213	59.391	3.2989
0.72213	60.699	3.7443
0.60487	62.004	3.45
0.7867	63.393	3.4413
0.73574	64.929	3.4126
0.68337	66.555	3.1672
0.62207	67.815	2.8342
0.65175	69.085	2.9004
0.80048	70.466	3.34
0.7956	72.026	3.658
0.73148	73.45	3.1124
0.7496	74.925	3.223
0.67069	76.344	3.1965
0.67954	77.629	3.6067
0.59776	78.895	3.4979
0.75491	80.233	3.3208
0.72075	81.704	3.2754
0.6933	83.01	3.8061
0.71673	84.409	3.6866
0.6737	85.825	3.4314
0.64388	87.143	3.4798
0.8435	88.627	3.4455
0.66124	90.127	3.4031
0.84715	91.595	3.7323
0.63764	93.027	3.3671
0.69339	94.35	3.3748
0.62242	95.651	3.5518
0.85348	97.111	3.3698
0.68632	98.63	3.57
0.81668	100.11	3.3418
0.6401	101.55	3.2699
0.61418	102.8	3.1607
0.61269	104.01	3.0243
0.63551	105.25	3.0476
0.62216	106.5	3.0943
0.74014	107.84	3.2981
0.64626	109.12	3.7899
0.72476	110.17	2.91
0.58654	111.45	3.1708
0.75545	112.99	3.4232
0.71628	114.45	3.3063
0.66989	115.76	3.7183
0.68117	117.11	3.7617
0.74683	118.48	3.4012
0.79099	119.99	3.1642
0.62496	121.36	3.5081
0.64126	122.62	3.4041
0.68115	123.94	3.3495
0.74489	125.36	3.4325
0.72693	126.83	3.3345
0.69794	128.25	3.3344
0.76618	129.71	3.2805
0.62538	131.23	3.1195
0.76343	132.62	3.2188
0.67079	134.17	3.0634
0.76442	135	4.2275
0.72054	136.88	3.3447
0.75303	138.35	3.3391
0.75409	139.85	3.4313
0.63585	141.19	3.1128
0.54058	142.36	3.2552
0.69528	143.55	3.5523
0.70497	144.94	3.3908
0.73011	146.36	3.3106
0.8174	147.9	3.3841
0.72253	149.43	3.3094
0.76382	150.91	3.2376
0.77767	152.44	3.1149
0.63379	153.85	3.1323
0.78398	155.25	3.309
0.71498	156.91	3.1094
0.73442	158.61	3.4705
0.81263	160.15	3.4363
0.72033	161.68	3.4667
0.60687	163.04	3.463
0.75834	164.4	3.4433
0.71667	165.88	3.4229
0.63489	167.2	3.6837
0.7596	168.51	3.2047
0.76275	170.03	3.157
0.718	171.58	3.357
0.75335	173.04	3.2772
0.63812	174.41	3.4243
0.79537	175.83	3.3753
0.64529	177.27	3.395
0.72296	178.62	3.2747
0.75119	180.09	3.2164
0.84105	181.99	3.4233
0.66482	183.59	2.9521
0.75021	184.67	4.0424
0.58398	186.27	3.6604
0.71472	187.54	3.3517
0.76577	189.39	3.2841
0.7781	190.91	3.5023
0.7174	192.33	3.0509
0.755	193.77	3.3505
0.6027	195.12	3.4959
0.75363	196.47	3.5609
0.78671	198	3.4241
0.7002	199.46	3.1431
0.62518	200.75	2.8573
0.77354	202.08	3.2669
0.63646	203.48	3.1344
0.69706	204.79	3.351
0.61547	206.07	3.1145
0.58103	207.26	3.2448
0.77242	208.59	3.0592
0.71587	210.1	3.1175
0.70331	211.49	3.3852
0.77386	212.97	3.6492
0.72974	214.4	3.1901
0.68189	215.8	3.033
0.76512	217.7	2.9275
0.56041	218.88	3.5235
0.66661	220.17	3.1937
0.77267	221.54	3.6344
0.65215	222.97	3.6978
0.64368	224.25	3.5662
0.65804	225.47	3.102
0.72529	226.83	2.8787
0.63466	228.18	3.039
0.82042	229.46	3.7166
0.66344	230.92	3.4739
0.72984	232.31	3.4824
0.59063	233.85	3.2721
0.72523	235.43	3.4719
0.63511	236.77	3.2646
0.67947	238.08	3.3995
0.71285	239.45	3.6484
0.75782	240.86	3.2765
0.73513	242.29	3.6956
0.7614	243.77	3.5277
0.73408	245.25	3.3061
0.61377	246.57	3.5438
0.74522	247.91	3.3057
0.68088	249.42	3.4178
0.75196	250.84	3.2747
0.71466	252.3	3.362
0.79094	253.8	3.3841
0.73113	255.25	3.8331
0.72722	256.68	3.5537
0.71566	258.11	3.4192
0.62106	259.43	3.201
0.64095	260.68	3.3404
0.68769	262.36	3.5112
0.58581	263.6	3.7628
0.69533	264.87	3.6066
0.71429	266.26	3.3743
0.82051	267.79	3.3186
0.78511	269.38	3.3575
0.67479	270.82	3.5916
0.70356	272.15	3.2803
0.73073	273.52	3.7029
0.59471	274.79	3.3471
0.71303	276.48	3.3502
0.68433	277.88	3.4494
0.6563	279.21	3.3435
0.72767	280.59	3.4257
0.63013	281.99	3.3626
0.70816	283.31	3.5506
0.62976	284.63	3.3467
0.77632	286.01	3.5691
0.67012	287.44	3.4061
0.71079	288.81	3.4194
0.67791	290.17	3.152
0.76347	291.68	3.353
0.79797	293.24	3.4359
0.66044	294.65	3.051
0.6522	296	3.2489
0.69207	297.35	3.2073
0.729	298.77	3.2847
0.71467	300.2	3.3618
0.6684	301.58	3.3094
0.77539	302.99	3.5157
0.64193	304.4	3.6199
0.70864	305.72	3.3171
0.60096	307	3.5612
0.74384	308.32	3.7404
0.62406	309.66	3.4558
0.63049	310.89	3.2268
0.62373	312.22	2.8766
0.81968	313.44	3.6403
0.73193	314.95	3.2701
0.73086	316.57	3.2613
0.76765	318.06	3.4361
0.66402	319.47	3.2456
0.71932	321	3.2094
0.59127	322.31	3.1764
0.77596	323.64	3.4792
0.83374	325.23	3.2864
0.77505	326.83	3.4393
0.72867	328.29	3.7615
0.63988	329.64	3.5505
0.82281	331.09	3.387
0.71767	332.6	3.6657
0.81129	334.12	3.468
0.75236	335.67	3.297
0.6938	337.11	3.1587
0.74161	338.49	3.5454
0.70061	339.9	3.271
0.61013	341.18	3.5695
0.76407	342.54	3.4687
0.74594	344.04	3.2976
0.74381	345.51	3.5393
0.71534	347.26	4.6157
0.78263	348.39	3.5604
0.83334	350.01	3.4676
0.67397	351.68	3.0715
0.62124	353.01	3.4133
0.76399	354.39	3.3128
0.63768	355.78	3.1361
0.70271	357.12	3.1492
0.75176	358.57	3.2584
0.62168	359.94	3.2677
0.66541	361.29	3.1883
0.66485	362.61	3.3396
0.77316	364.04	3.3698
0.63015	365.4	3.0555
0.73061	366.63	3.6357
0.65716	367.99	3.3764
0.63214	369.27	3.2423
0.76295	370.66	3.2344
0.64271	372.35	3.2664
0.66509	373.64	3.0848
0.7551	375.04	3.2848
0.71577	376.51	3.3123
0.7155	377.93	3.2708
0.70822	379.27	3.7127
0.63897	380.61	3.6489
0.82663	382.03	3.3211
0.7791	383.63	3.2861
0.63562	385.04	3.3984
0.75318	386.83	3.1875
0.65414	388.23	3.2699
0.70784	389.59	3.3403
0.66062	390.96	3.3471
0.66826	392.28	3.2313
0.6995	393.63	2.9997
0.59166	394.92	3.0042
0.75462	396.24	3.2169
0.72505	397.72	3.2303
0.68508	399.12	3.1555
0.74863	400.54	3.3443
0.65987	402.14	3.172
0.80432	403.61	3.1529
0.63398	405.04	3.151
0.59285	406.25	2.9526
0.81772	407.61	3.3287
0.77576	409.27	3.2348
0.70962	410.75	3.3909
0.65902	412.11	3.5343
0.70456	413.46	3.6733
0.66301	414.8	3.374
0.68805	416.14	3.2306
0.56995	417.39	3.2655
0.81553	418.73	3.6185
0.66684	420.21	3.5898
0.77439	421.65	3.7441
0.56058	423.18	3.4156
0.67721	424.41	3.287
0.6487	425.69	2.9561
0.78587	427.1	3.1397
0.65145	428.53	3.066
0.74187	429.9	3.3014
0.7369	431.37	3.1987
0.76061	432.72	3.8159
0.68287	434.15	3.6039
0.6565	435.45	3.2883
0.79063	436.89	3.3444
0.62758	438.31	3.3014
0.806	439.75	3.704
0.5971	441.16	3.7008
0.76192	442.5	3.4693
0.76661	444.02	3.3209
0.72931	445.55	3.3356
0.74463	447.02	3.295
0.79462	0.8017	4.9717
0.77036	2.3583	4.6093
0.59126	3.7167	4.6539
0.7401	4.9553	5.1301
0.7249	6.3851	4.8318
0.59444	7.6345	4.4136
0.66634	8.8605	4.6975
0.73553	10.187	5.1403
0.71113	11.545	4.6499
0.70618	13.758	4.9223
0.70686	15.154	4.7378
0.59771	16.457	4.7085
0.70311	17.658	5.2037
0.73911	19.005	4.6985
0.58305	20.305	4.4696
0.66084	22.06	4.6336
0.71674	23.381	4.279
0.76922	24.824	4.6064
0.68587	26.266	4.4598
0.76595	27.711	4.4541
0.69978	29.173	4.4814
0.73433	30.596	4.5943
0.63166	31.962	4.5617
0.71811	33.622	4.5131
0.60787	34.903	4.8355
0.62407	36.384	4.7288
0.62223	37.63	4.752
0.78349	39.005	4.4273
0.64104	40.427	4.3862
0.7212	41.74	4.7374
0.73602	43.161	4.4156
0.69105	44.586	4.3784
0.65488	46.2	4.473
0.68198	47.514	4.6956
0.6726	48.867	4.8444
0.79733	50.428	4.7304
0.78509	52.18	4.4891
0.78827	53.718	5.2445
0.64854	54.923	4.4732
0.61122	56.12	4.8583
0.73354	57.461	4.8962
0.78027	58.953	4.671
0.66371	60.334	5.0733
0.7815	61.755	4.8112
