#MaxRadius:0.89956	MaxHeight:62.56	MaxLength:78.2
2634
0.54251	52.753	7.6789
0.67648	53.6	6.8055
0.73353	54.977	7.0962
0.6538	56.328	7.4061
0.64443	57.46	6.7751
0.80329	59.141	6.9078
0.67124	60.411	7.6531
0.59794	61.597	7.2066
0.73662	62.929	7.2711
0.72233	64.385	7.2657
0.72162	65.819	7.181
0.77089	67.303	7.1872
0.75962	68.824	7.1659
0.77139	70.347	7.2862
0.70793	71.721	6.767
0.70404	73.11	6.9311
0.72262	74.529	6.9438
0.70799	75.951	7.0372
0.65501	77.301	7.1751
0.6977	0.74021	9.6706
0.78634	2.0653	7.4313
0.68527	3.327	8.1826
0.55646	4.7734	7.9565
0.75412	5.9555	8.5206
0.79569	7.3852	9.1048
0.76489	9.3106	8.9605
0.70601	10.761	8.7537
0.728	12.175	8.55
0.73781	13.621	8.763
0.70614	15.059	8.8368
0.66363	16.401	8.5784
0.81217	18.107	8.5062
0.79368	19.587	9.1082
0.72601	20.937	9.7915
0.64523	22.106	9.0851
0.70251	23.399	8.7201
0.65978	24.664	9.2105
0.6607	25.804	8.5506
0.67127	26.953	9.2182
0.67502	29.599	8.7848
0.62334	30.865	8.5128
0.67451	31.973	9.1838
0.54892	32.968	8.4732
0.6751	34.19	8.4178
0.7059	35.564	8.4645
0.70817	36.977	8.4123
0.63581	38.319	8.3388
0.5489	39.525	8.3756
0.59105	40.551	7.8006
0.72754	41.774	8.8466
0.84809	43.354	7.9392
0.65448	44.817	7.6029
0.61754	46.95	7.879
0.74694	48.126	8.562
0.77554	49.514	9.1786
0.59012	50.642	8.3907
0.67658	51.902	8.8386
0.79299	53.964	8.2283
0.71579	55.455	8.4594
0.70702	56.973	8.6043
0.62751	58.09	7.8737
0.55855	58.196	9.0482
0.74872	59.442	8.6852
0.68042	60.846	8.9261
0.74337	62.22	8.5672
0.71194	63.67	8.5028
0.69413	65.175	8.4419
0.76689	66.691	8.5872
0.63785	68.078	8.3638
0.76755	69.471	8.5432
0.68073	70.917	8.6196
0.72088	72.219	8.1025
0.74579	73.784	8.2068
0.60205	75.179	8.0946
0.80615	76.547	8.4262
0.79192	78.18	8.3193
0.75327	0.74544	11.118
0.7078	2.0334	8.918
0.79028	3.3384	9.651
0.6638	4.6974	9.1669
0.77158	5.8263	10.039
0.81123	8.4685	10.287
0.74822	10.134	10.227
0.64858	11.488	9.8947
0.76442	12.887	10.065
0.66031	14.308	9.9769
0.72919	15.796	10.064
0.70564	17.179	9.6992
0.74058	18.529	10.21
0.62412	19.842	10.581
0.73893	21.035	11.239
0.73919	22.286	10.453
0.66758	23.65	10.067
0.67827	24.987	10.502
0.62218	26.273	10.317
0.59083	27.505	10.349
0.77514	28.822	10.002
0.60719	30.201	9.9082
0.63737	31.171	10.677
0.76287	33.494	9.6687
0.675	34.916	9.846
0.73024	36.307	9.685
0.82339	37.853	9.7217
0.69936	39.364	9.6091
0.58344	40.477	8.9819
0.61449	41.834	10.18
0.8072	43.116	9.5748
0.76977	44.576	8.9993
0.62379	45.823	8.3878
0.64978	46.853	9.134
0.67227	48.202	9.9766
0.73879	49.418	10.686
0.84615	50.913	9.9902
0.69646	53.124	9.4532
0.77955	54.58	9.6691
0.62686	55.984	9.6891
0.79079	57.341	10.077
0.63104	58.761	10.14
0.64184	60.018	9.9531
0.6126	61.751	9.8384
0.6843	63.036	9.7435
0.73017	64.444	9.704
0.69854	65.862	9.7847
0.65066	67.204	9.9064
0.77535	68.626	9.8247
0.6964	70.109	9.856
0.75975	71.563	9.9046
0.69148	72.897	9.3375
0.58376	74.162	9.4729
0.65953	75.398	9.3339
0.74225	76.338	10.371
0.6456	77.455	9.5549
0.6946	0.79028	12.555
0.72987	1.9981	10.347
0.5765	3.1335	10.994
0.75739	4.4584	10.722
0.77533	6.1992	11.534
0.56744	7.0997	10.434
0.72955	9.4009	11.506
0.62959	10.753	11.588
0.69473	12.026	11.237
0.68366	13.472	11.385
0.76716	14.912	11.265
0.67496	16.253	11.788
0.68207	17.396	11.063
0.70612	18.674	11.646
0.80518	19.997	12.374
0.71333	21.541	12.588
0.75407	22.802	11.849
0.70307	24.242	11.663
0.63108	25.574	11.667
0.70882	26.895	11.493
0.69306	28.287	11.366
0.81337	29.786	11.264
0.72119	31.111	12.029
0.5892	32.356	10.386
0.80758	33.715	11.217
0.63462	35.154	11.133
0.70931	36.497	11.106
0.58975	37.793	11.133
0.6618	39.024	10.923
0.73043	40.518	10.447
0.75837	41.553	11.515
0.72528	42.981	11.097
0.73515	44.356	10.485
0.65608	45.638	9.9431
0.732	46.904	10.505
0.64053	48.251	11.414
0.7261	50.609	11.528
0.7845	52.368	10.72
0.62296	53.772	10.814
0.80628	55.421	11.004
0.67282	56.829	11.437
